,text_name,RelFreq_NOUN,RelFreq_VERB,RelFreq_ADJ,RelFreq_ADV,Unique_PER,Unique_LOC,Unique_ORG
46,0193.a4.txt,1461.06,1040.66,454.86,255.0,0,0,10
47,0194.a4.txt,1676.77,1181.82,575.76,393.94,0,0,3
48,0195.a4.txt,1598.44,1130.6,380.12,321.64,0,0,6
49,0196.a4.txt,1240.31,1201.55,581.4,418.6,0,0,2
50,0197.a4.txt,1388.6,1212.44,476.68,404.15,0,0,6
51,0198.a4.txt,1125.12,1134.82,426.77,358.87,0,0,6
52,0199.a4.txt,1642.62,954.5,732.52,410.65,0,0,7
53,0200.a4.txt,1473.35,1306.17,553.81,647.86,0,0,1
54,0202.a4.txt,1387.1,1462.37,365.59,193.55,0,0,4
55,0204.a4.txt,1476.74,1081.4,534.88,372.09,0,0,1
56,0205.a4.txt,1403.23,1064.52,532.26,467.74,0,0,3
57,0206.a4.txt,1147.27,1041.5,634.66,423.11,0,0,13
58,0208.a4.txt,1019.83,1395.18,509.92,573.65,0,0,8
59,0213.a4.txt,1726.99,1065.15,506.72,486.04,0,1,3
60,0214.a4.txt,1252.75,1307.69,549.45,604.4,0,0,9
61,0215.a4.txt,1722.76,945.51,584.94,312.5,0,0,5
62,0216.a4.txt,1444.54,1298.37,472.91,292.35,0,0,5
63,0218.a4.txt,1241.1,1169.89,620.55,213.63,0,3,5
64,0219.a4.txt,1224.92,1193.24,770.86,623.02,0,0,1
65,0222.a4.txt,1677.08,1218.75,604.17,427.08,0,0,3
66,0223.a4.txt,1363.18,1373.13,457.71,388.06,0,0,6
67,0224.a4.txt,1317.93,1118.05,668.33,368.52,0,0,9
68,0227.a4.txt,1735.09,1123.16,410.53,325.33,0,0,3
69,0234.a4.txt,1634.41,989.25,752.69,526.88,0,0,2
70,0235.a4.txt,1457.23,1161.56,654.7,295.67,0,0,8
71,0237.a4.txt,1483.05,1207.63,741.53,466.1,0,0,1
72,0238.a4.txt,1475.88,1305.58,473.04,312.2,0,0,1
73,1003.a4.txt,1894.41,1055.9,621.12,295.03,0,0,1
74,1005.a4.txt,1556.68,981.39,482.23,389.17,0,0,6
75,1006.a4.txt,1936.72,834.13,814.96,460.21,0,0,3
76,1008.a4.txt,1615.76,995.07,709.36,551.72,0,4,9
77,1009.a4.txt,1699.78,1048.57,562.91,375.28,0,0,2
78,1010.a4.txt,1686.46,815.52,744.26,467.14,0,0,3
79,1012.a4.txt,1729.62,954.27,775.35,357.85,0,0,1
80,1013.a4.txt,1401.96,1078.43,666.67,303.92,0,0,0
81,1014.a4.txt,1390.59,1278.12,572.6,388.55,0,0,1
82,1017.a4.txt,1522.23,1047.48,753.58,542.58,0,0,1
83,1018.a4.txt,1497.98,1206.48,639.68,429.15,0,0,2
84,1021.a4.txt,1625.68,1010.93,819.67,450.82,0,0,0
85,1022.a4.txt,1509.92,1173.43,552.2,483.18,0,0,2
86,1023.a4.txt,1686.42,820.42,838.65,474.02,0,1,2
87,1032.a4.txt,1158.0,1275.76,677.13,549.56,0,2,1
88,1034.a4.txt,1517.09,1121.79,673.08,587.61,0,0,4
89,1036.a4.txt,1541.95,1145.12,623.58,498.87,0,0,3
90,1043.a4.txt,1352.94,1049.02,764.71,480.39,0,0,1
